Supply
20
8
0
0
8
2
3
3
0
0
3
0
0
0
10
0
2
0
0
2
11
8
2
0
0
5
0
2
0
5
5
0
10
0
0
0
0
0
0
3
2
13
5
8
0
0
0
0
2
11
0
5
0
2
5
0
0
0
0
2
0
0
0
0
0
0
11
4
0
5
5
0
0
0
7
0
0
0
26
2
3
2
0
5
5
3
0
3
0
0
5
5
0
0
0
0
3
2
8
5
3
0
5
0
0
0
0
0
0
0
0
0
0
5
8
3
2
0
8
5
6
2
5
8
0
3
0
6
0
5
0
0
0
0
0
7
0
2
5
0
0
5
5
0
5
11
2
3
0
8
0
0
5
0
0
0
0
0
0
2
0
0
0
10
5
8
8
20
0
5
11
5
0
13
3
0
0
0
8
2
0
0
0
0
7
0
0
0
7
0
16
0
0
6
0
2
0
0
10
3
5
0
0
0
0
0
0
0
2
0
8
2
5
0
8
0
0
0
2
0
0
13
0
13
0
0
0
2
0
0
0
0
3
7
0
0
8
0
3
0
0
5
3
2
5
0
3
0
0
0
0
0
0
0
0
0
5
0
3
2
3
2
0
0
5
0
0
0
13
3
5
5
8
0
0
0
0
0
2
0
3
8
0
8
8
0
0
0
8
0
0
5
8
0
2
0
0
0
0
0
0
0
0
0
3
0
2
5
0
0
0
5
0
0
3
0
0
13
0
0
0
6
0
0
0
0
7
0
3
0
0
0
8
0
0
0
