Supply
36
0
2
0
2
2
0
0
0
0
2
0
2
2
0
0
2
0
6
0
6
6
0
0
0
14
0
0
0
16
2
0
0
0
4
0
4
0
0
0
8
0
0
2
0
0
10
12
0
0
10
0
0
2
0
0
2
0
0
2
2
0
0
0
0
8
4
2
4
0
2
2
0
2
8
0
6
0
0
0
0
14
12
2
0
0
0
4
6
6
0
2
0
8
2
0
10
2
2
2
0
0
0
2
0
0
0
0
0
2
0
0
4
0
4
12
8
8
6
0
0
0
0
6
0
6
0
0
4
0
0
0
0
4
0
2
0
14
4
0
12
4
0
4
6
0
0
0
0
4
2
0
2
0
0
0
4
0
0
0
2
6
10
0
2
0
2
0
2
2
2
2
0
0
4
6
0
0
0
0
4
0
0
0
6
0
0
4
0
0
6
8
8
4
4
0
0
0
0
0
2
0
0
2
2
0
0
0
0
0
20
0
6
0
0
2
0
4
4
0
0
8
0
2
4
0
0
0
8
0
0
8
0
2
0
0
0
0
10
4
0
4
2
4
0
0
0
0
2
0
0
0
0
0
0
0
2
0
0
2
0
4
0
8
2
2
0
2
2
4
2
10
0
0
22
0
0
0
0
0
0
0
6
0
10
0
8
0
0
8
2
0
2
0
0
0
0
0
0
0
0
0
0
0
2
0
0
0
0
0
0
0
4
0
4
0
0
4
4
0
0
2
0
2
0
0
8
0
0
0
0
0
0
0
0
0
